Time, Radius, MaxSpeed, ActualSpeed
0.4309426,9.272002,0,0,
0.9709971,21.03497,26.51528,0.118812,
1.615827,39.8124,33.81434,0.4313528,
2.36099,67.06536,33.81434,1.292575,
3.202007,104.1819,33.81434,3.660762,
4.134358,152.498,33.81434,9.208902,
5.153528,213.3236,33.81434,15.14279,
6.254972,287.9745,33.81434,16.04128,
7.43417,377.8134,33.81434,16.02949,
8.686559,484.3022,33.81434,16.01696,
10.00761,609.0698,33.81434,16.00375,
11.39276,754.0067,33.81434,15.9899,
12.83747,921.3923,33.81434,15.97545,
14.3372,1114.07,33.81434,15.96046,
15.88738,1335.712,33.81434,15.94495,
17.48347,1591.197,33.81434,15.92899,
19.12092,1887.203,33.81434,15.91262,
20.79516,2233.129,33.81434,15.89588,
22.50166,2642.645,33.81434,15.87881,
24.23585,3136.365,33.81434,15.86147,
25.99318,3746.757,33.81434,15.8439,
27.76911,4527.866,33.81434,15.82614,
29.55906,5576.432,33.81434,15.80824,
31.35851,7083.61,33.81434,15.79024,
33.16289,9486.14,33.81434,15.7722,
34.96763,14043.42,33.81434,15.75415,
36.7682,26486.86,33.81434,15.73615,
38.56005,232827.9,33.81434,15.71823,
40.33861,33394.43,33.81434,15.70044,
42.09932,15199.44,33.81434,15.68283,
43.83763,9599.722,33.81434,15.66545,
45.54899,6841.954,33.81434,15.64834,
47.22886,5179.775,33.81434,15.63154,
48.87268,4056.777,33.81434,15.6151,
50.47588,3240.767,33.81434,15.59907,
52.03392,2617.812,33.81434,15.58349,
53.54224,2125.572,33.81434,15.5684,
54.9963,1727.128,33.81434,15.55386,
56.39154,1399.253,33.81434,15.53991,
57.72342,1126.598,33.81434,15.52659,
59.04108,38.72094,33.81434,15.51342,
60.39604,45.64441,33.81434,15.49987,
61.78682,53.90797,33.81434,15.48596,
63.21169,63.85205,33.81434,15.47171,
64.66858,75.97073,33.81434,15.45714,
66.15526,91.01064,33.81434,15.44227,
67.6693,110.1565,33.81434,15.42713,
69.20819,135.4056,33.81434,15.41174,
70.76927,170.4037,33.81434,15.39613,
72.3498,222.5753,33.81434,15.38033,
73.94698,309.7022,33.81434,15.36436,
75.558,487.5756,33.81434,15.34825,
77.17993,1067.689,33.81434,15.33203,
78.80993,7451.759,33.81434,15.31573,
80.44512,847.6808,33.81434,15.29937,
82.08263,451.0721,33.81434,15.283,
83.7196,306.5316,33.81434,15.26663,
85.35328,230.8458,33.81434,15.25029,
86.98093,183.7572,33.81434,15.23402,
88.59986,151.302,33.81434,15.21783,
90.20757,127.3635,33.81434,15.20175,
91.80157,108.8435,33.81434,15.18581,
93.37962,94.00766,33.81434,15.17003,
94.93954,81.8121,33.81434,15.15443,
96.47943,71.59191,33.81434,15.13903,
97.99756,62.90471,33.81434,15.12385,
99.49251,55.44499,33.81434,15.1089,
100.9631,48.99513,33.81434,15.09419,
102.4087,43.39592,33.81434,15.07974,
103.8289,38.52785,33.81434,15.06554,
105.2239,34.29922,33.81434,15.05159,
106.5943,30.63814,32.50826,15.03788,
107.9416,27.48719,30.66263,15.02441,
109.2679,24.79993,28.99542,15.01115,
110.5759,22.53835,27.52582,14.99807,
111.8694,20.67152,26.26695,14.98513,
113.1531,19.1746,25.22762,14.97229,
114.4324,18.02857,24.41393,14.9595,
115.7139,17.22023,23.83061,14.94669,
117.0049,16.74244,23.48218,14.93378,
117.1664,2.076471,14.93216,14.93216,
117.3268,2.094957,14.93216,14.93216,
117.4868,2.154739,14.93216,14.93216,
117.6475,2.255883,14.93216,14.93216,
117.8094,2.399282,14.93216,14.93216,
117.973,2.586586,14.93216,14.93216,
118.139,2.820179,14.93216,14.93216,
118.3076,3.103164,14.93216,14.93216,
118.479,3.439415,14.93216,14.93216,
118.6536,3.833683,14.93216,14.93216,
118.8313,4.291788,14.93216,14.93216,
119.0122,4.820908,14.93216,14.93216,
119.1962,5.430037,14.93216,14.93216,
119.3833,6.130655,15.04439,14.98256,
119.5732,6.937712,15.73311,14.98066,
119.7659,7.871132,16.52001,14.97873,
119.9611,8.958144,17.42336,14.97678,
120.1586,10.23697,18.46814,14.9748,
120.358,11.76298,19.68943,14.97281,
120.5592,13.61936,21.13783,14.9708,
120.7617,15.93673,22.88846,14.96877,
120.9654,18.9321,25.05675,14.96673,
121.1698,22.99314,27.82623,14.96469,
121.3746,28.88525,31.49608,14.96264,
121.5795,38.35567,33.81434,14.96059,
121.7842,56.44169,33.81434,14.95855,
121.9881,106.0682,33.81434,14.95651,
122.1911,932.4037,33.81434,14.95448,
122.3926,133.5983,33.81434,14.95246,
122.5925,61.00944,33.81434,14.95046,
122.7903,38.75249,33.81434,14.94849,
122.9856,27.85048,30.88144,14.94653,
123.1782,21.32232,26.71051,14.94461,
123.3676,16.94306,23.62881,14.94271,
123.5537,13.78368,21.26406,14.94085,
123.736,11.388,19.39189,14.93903,
123.9142,9.506084,17.87339,14.93725,
124.0883,7.989697,16.61923,14.9355,
124.2578,6.745413,15.56971,14.93381,
124.4227,5.711407,14.93216,14.93216,
124.5875,5.072878,14.93216,14.93216,
124.7567,5.957249,14.93216,14.93216,
124.9302,7.011055,15.79531,14.98272,
125.1078,8.277806,16.85962,14.98094,
125.2892,9.820679,18.13017,14.97913,
125.4742,11.73514,19.6674,14.97728,
125.6624,14.17269,21.56163,14.97539,
125.8537,17.38868,23.9528,14.97348,
126.0475,21.84916,27.06589,14.97154,
126.2438,28.50306,31.27055,14.96958,
126.442,39.62299,33.81434,14.9676,
126.642,62.33886,33.81434,14.9656,
126.8433,136.458,33.81434,14.96358,
127.0455,952.2694,33.81434,14.96156,
127.2485,108.3459,33.81434,14.95953,
127.4518,57.67887,33.81434,14.9575,
127.655,39.22388,33.81434,14.95547,
127.8579,29.56766,31.89446,14.95344,
128.0602,23.56531,28.20068,14.95142,
128.2615,19.43221,25.40838,14.9494,
128.4615,16.3865,23.22084,14.9474,
128.66,14.03206,21.45427,14.94542,
128.8566,12.14712,19.99251,14.94345,
129.0512,10.59815,18.75969,14.94151,
129.2434,9.300066,17.7046,14.93958,
129.4331,8.196253,16.79167,14.93769,
129.6201,7.247597,15.9955,14.93582,
129.8044,6.426252,15.29754,14.93397,
129.9856,5.71186,14.93216,14.93216,
130.1639,5.08915,14.93216,14.93216,
130.3393,4.546439,14.93216,14.93216,
130.5117,4.074585,14.93216,14.93216,
130.6814,3.666309,14.93216,14.93216,
130.8485,3.315739,14.93216,14.93216,
131.0134,3.018077,14.93216,14.93216,
131.1764,2.769409,14.93216,14.93216,
131.3381,2.566567,14.93216,14.93216,
131.4991,2.407073,14.93216,14.93216,
131.6601,2.289119,14.93216,14.93216,
131.8219,2.21158,14.93216,14.93216,
132.5862,10.27193,18.49642,15.63097,
133.3468,10.44917,18.63962,15.62336,
134.1074,10.8155,18.9344,15.61576,
134.8715,11.3728,19.37979,15.60812,
135.6419,12.12635,19.97617,15.60041,
136.4209,13.08472,20.72488,15.59262,
137.2106,14.2596,21.62787,15.58473,
138.0123,15.66596,22.6872,15.57671,
138.8269,17.32229,23.90469,15.56856,
139.6553,19.25127,25.2815,15.56028,
140.4977,21.48065,26.81766,15.55186,
141.3542,24.0448,28.51148,15.54329,
142.2245,26.9869,30.35875,15.53459,
143.1081,30.3622,32.35134,15.52575,
144.0045,34.24279,33.81434,15.51679,
144.9127,38.72492,33.81434,15.5077,
145.8319,43.94012,33.81434,15.49851,
146.761,50.07315,33.81434,15.48922,
147.6986,57.39159,33.81434,15.47985,
148.6437,66.29729,33.81434,15.47039,
149.5948,77.42133,33.81434,15.46088,
150.5504,91.81137,33.81434,15.45133,
151.5092,111.339,33.81434,15.44174,
152.4696,139.698,33.81434,15.43214,
153.43,185.3205,33.81434,15.42253,
154.3888,272.5135,33.81434,15.41294,
155.3446,511.8934,33.81434,15.40339,
156.2955,4498.461,33.81434,15.39388,
157.2402,644.7408,33.81434,15.38443,
158.1769,294.5364,33.81434,15.37506,
159.1041,187.2087,33.81434,15.36579,
160.0202,134.6696,33.81434,15.35663,
160.9237,103.2315,33.81434,15.34759,
161.8131,82.15684,33.81434,15.3387,
162.6871,66.96208,33.81434,15.32996,
163.5442,55.44534,33.81434,15.32139,
164.3832,46.40002,33.81434,15.313,
165.203,39.11034,33.81434,15.3048,
166.0025,33.12529,33.81434,15.29681,
166.7811,28.14633,31.05847,15.28902,
167.5619,20.12155,25.88819,15.28121,
168.3683,24.04846,28.51385,15.27315,
169.1994,28.76265,31.42392,15.26484,
170.054,34.45741,33.81434,15.25629,
170.9304,41.41258,33.81434,15.24753,
171.8272,50.05078,33.81434,15.23856,
172.7427,61.04255,33.81434,15.22941,
173.6751,75.51883,33.81434,15.22008,
174.6224,95.54499,33.81434,15.21061,
175.5827,125.3289,33.81434,15.20101,
176.5539,174.9519,33.81434,15.19129,
177.5342,276.0499,33.81434,15.18149,
178.5214,605.2695,33.81434,15.17162,
179.5134,4225.396,33.81434,15.1617,
180.5083,480.4252,33.81434,15.15175,
181.504,255.2701,33.81434,15.14179,
182.4983,173.0597,33.81434,15.13185,
183.4895,129.9021,33.81434,15.12194,
184.4754,102.9713,33.81434,15.11208,
185.4543,84.35173,33.81434,15.10229,
186.4242,70.57753,33.81434,15.09259,
187.3835,59.8942,33.81434,15.083,
188.3305,51.32057,33.81434,15.07353,
189.2637,44.26662,33.81434,15.0642,
190.1818,38.35684,33.81434,15.05502,
191.0835,33.34159,33.81434,15.046,
191.9679,29.04837,31.59182,15.03716,
192.8343,25.35415,29.34628,15.02849,
193.6822,22.16858,27.27976,15.02001,
194.5115,19.42343,25.40223,15.01172,
195.3226,17.06588,23.71835,15.00361,
196.1163,15.05404,22.22916,14.99567,
196.8938,13.35402,20.93332,14.9879,
197.6573,11.93811,19.82782,14.98026,
198.4092,10.78353,18.90874,14.97274,
199.153,9.871928,18.17188,14.96531,
199.8927,9.189103,17.61348,14.95791,
200.6331,8.725239,17.23099,14.9505,
201.3799,8.475263,17.0238,14.94304,
202.1391,8.439353,16.99397,14.93544,
202.4675,3.730504,14.93216,14.93216,
202.7906,3.650832,14.93216,14.93216,
203.1109,3.666365,14.93216,14.93216,
203.4309,3.774502,14.93216,14.93216,
203.7526,3.975163,14.93216,14.93216,
204.0779,4.270548,14.93216,14.93216,
204.4081,4.664905,14.93216,14.93216,
204.7445,5.164365,14.93216,14.93216,
205.0879,5.776881,14.93216,14.93216,
205.4388,6.512295,15.37103,15.18131,
205.7975,7.382609,16.10946,15.17772,
206.1643,8.402472,16.96333,15.17406,
206.5391,9.590006,17.94201,15.17031,
206.9217,10.96807,19.0567,15.16648,
207.3118,12.56616,20.32112,15.16258,
207.7089,14.42339,21.75245,15.15861,
208.1126,16.59297,23.37262,15.15457,
208.5223,19.14951,25.20997,15.15048,
208.9373,22.20102,27.30141,15.14633,
209.3569,25.90992,29.69447,15.14213,
209.7803,30.5315,32.44772,15.1379,
210.2068,36.49017,33.81434,15.13363,
210.6356,44.54495,33.81434,15.12934,
211.0657,56.19515,33.81434,15.12504,
211.4964,74.86511,33.81434,15.12074,
211.9268,110.4295,33.81434,15.11643,
212.356,207.8334,33.81434,15.11214,
212.783,1828.254,33.81434,15.10787,
213.2071,261.8276,33.81434,15.10363,
213.6273,119.4155,33.81434,15.09943,
214.0427,75.68232,33.81434,15.09527,
214.4525,54.21614,33.81434,15.09117,
214.8558,41.33191,33.81434,15.08714,
215.2518,32.6688,33.63519,15.08318,
215.6398,26.40649,30.00246,15.0793,
216.0189,21.65156,26.93299,15.07551,
216.3886,17.91476,24.33226,15.07181,
216.7482,14.906,22.11769,15.06822,
217.097,12.4425,20.22437,15.06473,
217.4348,10.40318,18.6025,15.06135,
217.7735,7.826964,16.48301,15.05796,
218.1253,9.51271,17.87881,15.05445,
218.4894,11.55007,19.52069,15.0508,
218.8655,14.02248,21.44695,15.04704,
219.2525,17.05035,23.70703,15.04317,
219.6498,20.81519,26.3653,15.0392,
220.0565,25.60495,29.50387,15.03513,
220.4715,31.90547,33.21732,15.03098,
220.8939,40.60438,33.81434,15.02676,
221.3226,53.51107,33.81434,15.02247,
221.7568,74.96179,33.81434,15.01813,
222.1952,118.5671,33.81434,15.01375,
222.6368,260.3291,33.81434,15.00933,
223.0806,1818.324,33.81434,15.00489,
223.5255,206.5894,33.81434,15.00044,
223.9705,109.5926,33.81434,14.99599,
224.4144,74.10526,33.81434,14.99155,
224.8562,55.42525,33.81434,14.98714,
225.295,43.73235,33.81434,14.98275,
225.7297,35.62212,33.81434,14.9784,
226.1595,29.60461,31.91588,14.9741,
226.5833,24.92612,29.07563,14.96986,
227.0003,21.16558,26.60415,14.96569,
227.4098,18.06996,24.44358,14.9616,
227.811,15.47841,22.54729,14.95759,
228.2033,13.28395,20.87917,14.95366,
228.5862,11.41263,19.41149,14.94983,
228.9594,9.811503,18.12269,14.9461,
229.3225,8.441451,16.99572,14.94247,
229.6758,7.272641,16.01665,14.93894,
230.0193,6.281655,15.17383,14.9355,
230.3536,5.449593,14.93216,14.93216,
230.6796,4.760903,14.93216,14.93216,
230.9985,4.202661,14.93216,14.93216,
231.312,3.76419,14.93216,14.93216,
231.6223,3.437004,14.93216,14.93216,
231.9317,3.214927,14.93216,14.93216,
232.2434,3.094408,14.93216,14.93216,
232.5606,3.074914,14.93216,14.93216,
232.8868,3.159352,14.93216,14.93216,
232.998,1.143198,14.93216,14.93216,
233.1061,1.076718,14.93216,14.93216,
233.2124,1.04794,14.93216,14.93216,
233.3178,1.054582,14.93216,14.93216,
233.4236,1.095655,14.93216,14.93216,
233.5304,1.171339,14.93216,14.93216,
233.6391,1.282844,14.93216,14.93216,
233.7502,1.432276,14.93216,14.93216,
233.8641,1.622527,14.93216,14.93216,
233.9812,1.857233,14.93216,14.93216,
234.1016,2.140804,14.93216,14.93216,
234.2253,2.478535,14.93216,14.93216,
234.3525,2.87687,14.93216,14.93216,
234.483,3.343788,14.93216,14.93216,
234.6167,3.889458,14.93216,14.93216,
234.7534,4.527213,14.93216,14.93216,
234.893,5.275091,14.93216,14.93216,
235.0351,6.158301,15.06811,14.95975,
235.1796,7.213299,15.96651,14.9583,
235.326,8.494905,17.04011,14.95684,
235.4742,10.08935,18.34852,14.95535,
235.6237,12.14013,19.98701,14.95386,
235.7743,14.90412,22.11627,14.95235,
235.9256,18.88908,25.02636,14.95084,
236.0772,25.25527,29.28395,14.94932,
236.2289,37.34935,33.81434,14.94781,
236.3801,70.40553,33.81434,14.94629,
236.5306,619.6231,33.81434,14.94479,
236.6801,88.72276,33.81434,14.9433,
236.828,40.40841,33.81434,14.94182,
236.9741,25.54741,29.46778,14.94036,
237.1181,18.23685,24.56297,14.93892,
237.2595,13.83817,21.30585,14.9375,
237.3981,10.87353,18.98095,14.93612,
237.5335,8.726274,17.23184,14.93476,
237.6654,7.093896,15.8655,14.93344,
237.7936,5.810821,14.93216,14.93216,
237.9177,4.77891,14.93216,14.93216,
238.0376,3.936299,14.93216,14.93216,
238.153,3.241956,14.93216,14.93216,
238.2681,3.038216,14.93216,14.93216,
238.3868,3.620369,14.93216,14.93216,
238.509,4.318379,14.93216,14.93216,
238.6347,5.160885,14.93216,14.93216,
238.7634,6.189374,15.09476,14.9604,
238.895,7.466515,16.18018,14.95908,
239.0294,9.09174,17.53341,14.95774,
239.1661,11.23274,19.26821,14.95637,
239.305,14.19574,21.57921,14.95498,
239.4458,18.60457,24.82484,14.95358,
239.5881,25.95371,29.72175,14.95215,
239.7317,40.93305,33.81434,14.95072,
239.8764,89.7308,33.81434,14.94927,
240.0217,625.9063,33.81434,14.94782,
240.1675,71.21442,33.81434,14.94636,
240.3134,37.85208,33.81434,14.9449,
240.4592,25.6747,29.54756,14.94344,
240.6045,19.28522,25.30534,14.94199,
240.7491,15.30051,22.41419,14.94055,
240.8928,12.54725,20.30633,14.93911,
241.0351,10.51166,18.69002,14.93769,
241.1761,8.933639,17.40315,14.93628,
241.3152,7.667672,16.34937,14.93488,
241.4525,6.626251,15.46823,14.93351,
241.5876,5.753673,14.93216,14.93216,
241.7204,5.012901,14.93216,14.93216,
241.8508,4.378343,14.93216,14.93216,
241.9786,3.831762,14.93216,14.93216,
242.1038,3.35977,14.93216,14.93216,
242.2264,2.952275,14.93216,14.93216,
242.3464,2.60148,14.93216,14.93216,
242.4639,2.301219,14.93216,14.93216,
242.5792,2.046518,14.93216,14.93216,
242.6924,1.83332,14.93216,14.93216,
242.804,1.658295,14.93216,14.93216,
242.9143,1.518748,14.93216,14.93216,
243.024,1.412583,14.93216,14.93216,
243.1337,1.338307,14.93216,14.93216,
243.2441,1.295083,14.93216,14.93216,
243.3562,1.282787,14.93216,14.93216,
243.517,1.869275,14.93216,14.93216,
243.6756,1.841566,14.93216,14.93216,
243.8331,1.859219,14.93216,14.93216,
243.9905,1.921274,14.93216,14.93216,
244.1489,2.027906,14.93216,14.93216,
244.309,2.180321,14.93216,14.93216,
244.4716,2.380657,14.93216,14.93216,
244.637,2.631927,14.93216,14.93216,
244.8058,2.937998,14.93216,14.93216,
244.9781,3.30365,14.93216,14.93216,
245.1541,3.734712,14.93216,14.93216,
245.3338,4.23832,14.93216,14.93216,
245.5174,4.823328,14.93216,14.93216,
245.7045,5.500929,14.93216,14.93216,
245.8952,6.285613,15.17722,14.98147,
246.0891,7.196599,15.95239,14.97953,
246.2861,8.260076,16.84485,14.97756,
246.4859,9.512768,17.87886,14.97556,
246.6882,11.00786,19.08855,14.97354,
246.8926,12.82532,20.52331,14.97149,
247.0988,15.0908,22.2568,14.96943,
247.3064,18.01316,24.40288,14.96735,
247.515,21.96589,27.14419,14.96527,
247.7243,27.68661,30.78294,14.96318,
247.9338,36.85986,33.81434,14.96108,
248.1431,54.34301,33.81434,14.95899,
248.3517,102.244,33.81434,14.9569,
248.5594,899.1956,33.81434,14.95482,
248.7656,128.8049,33.81434,14.95276,
248.9699,58.7609,33.81434,14.95072,
249.172,37.25822,33.81434,14.9487,
249.3714,26.70829,30.18822,14.9467,
249.5677,20.37917,26.06606,14.94474,
249.7605,16.1256,23.02832,14.94281,
249.9495,13.05203,20.69953,14.94092,
250.1344,10.7189,18.85682,14.93907,
250.3147,8.885463,17.36339,14.93727,
250.4902,7.408978,16.13169,14.93552,
250.6606,6.199491,15.10343,14.93381,
250.8258,5.197431,14.93216,14.93216,
250.9907,4.714561,14.93216,14.93216,
251.1605,5.571439,14.93216,14.93216,
251.3349,6.595267,15.44182,14.98137,
251.5136,7.828168,16.48402,14.97958,
251.6965,9.331266,17.7302,14.97775,
251.8832,11.19692,19.23963,14.97588,
252.0734,13.57165,21.10112,14.97398,
252.2669,16.70256,23.45297,14.97204,
252.4631,21.04067,26.51917,14.97008,
252.6619,27.50458,30.67314,14.96809,
252.8628,38.29451,33.81434,14.96609,
253.0655,60.31393,33.81434,14.96406,
253.2695,132.1072,33.81434,14.96202,
253.4746,922.0594,33.81434,14.95997,
253.6803,104.8799,33.81434,14.95791,
253.8862,55.79369,33.81434,14.95585,
