Time, Radius, MaxSpeed, ActualSpeed
81.0358,41.88552,33.81434,33.06615,
81.55704,33.53561,33.81434,31.2248,
82.07258,27.49074,30.66478,29.30044,
82.58096,22.8633,27.74072,27.29683,
83.08086,19.18428,25.23442,25.21861,
83.57106,16.18369,23.07126,23.07126,
84.0506,13.69575,21.19656,21.19656,
84.51862,11.61313,19.57073,19.57073,
84.97466,9.863085,18.16469,18.16469,
85.4856,13.13072,20.76055,20.66363,
86.01154,15.12892,22.28545,22.28545,
86.5511,17.27313,23.86902,23.86902,
87.10296,19.54071,25.48427,25.48427,
87.66553,21.90324,27.10219,27.10219,
88.23726,24.32647,28.69279,28.69279,
88.81654,26.77024,30.22622,30.22622,
89.40162,29.1886,31.67386,31.67386,
89.99079,31.53016,33.00932,33.00932,
90.58224,33.73858,33.81434,33.81434,
91.17421,35.7536,33.81434,33.81434,
91.76482,37.51228,33.81434,33.81434,
92.35225,38.95079,33.81434,33.81434,
92.93459,40.0067,33.81434,33.81434,
93.50999,40.62196,33.81434,33.81434,
94.07654,40.74616,33.81434,33.81434,
94.63233,40.34042,33.81434,33.81434,
95.17546,39.38144,33.81434,33.81434,
95.70398,37.8653,33.81434,33.81434,
96.21598,35.81087,33.81434,33.81434,
96.86288,29.23086,31.69854,31.69854,
97.5295,33.03823,33.81434,33.81434,
98.21363,36.80801,33.81434,33.81434,
98.91325,40.44545,33.81434,33.81434,
99.62611,43.85312,33.81434,33.81434,
100.3501,46.93481,33.81434,33.81434,
101.0829,49.59955,33.81434,33.81434,
101.8224,51.76571,33.81434,33.81434,
102.5664,53.36506,33.81434,33.81434,
103.3126,54.34607,33.81434,33.81434,
104.0588,54.6767,33.81434,33.81434,
104.8027,54.34608,33.81434,33.81434,
105.5422,53.36506,33.81434,33.81434,
106.2751,51.76572,33.81434,33.81434,
106.999,49.59955,33.81434,33.81434,
107.7119,46.93481,33.81434,33.81434,
108.4115,43.85312,33.81434,33.81434,
109.0957,40.44543,33.81434,33.81434,
109.7622,36.80801,33.81434,33.81434,
110.4092,33.03823,33.81434,33.81434,
110.9212,33.26211,33.81434,33.81434,
111.4497,35.81086,33.81434,33.81434,
111.9928,37.86529,33.81434,33.81434,
