accelerationProfile
Time,Value,Skidding
7.64,37.21782,False
7.66,37.44332,False
7.68,37.66837,False
7.7,37.89293,False
7.72,38.11705,False
7.74,38.34069,False
7.76,38.56387,False
7.78,38.78659,False
7.8,39.00883,False
7.82,39.23064,False
7.84,39.45199,False
7.86,39.67285,False
7.88,39.89328,False
7.9,40.11322,False
7.92,40.33273,False
7.94,40.55177,False
7.96,40.77039,False
7.98,40.98852,False
8,41.20622,False
8.02,41.42344,False
8.04,41.64024,False
8.059999,41.85658,False
8.08,42.07248,False
8.099999,42.28791,False
8.12,42.5029,False
8.139999,42.71746,False
8.16,42.93156,False
8.179999,43.14521,False
8.2,43.35844,False
8.22,43.57122,False
8.24,43.78357,False
8.26,43.99545,False
8.28,44.20692,False
8.3,44.41793,False
8.32,44.6285,False
8.34,44.83866,False
8.36,45.04836,False
8.38,45.25763,False
8.4,45.46646,False
8.42,45.67487,False
8.44,45.88285,False
8.46,46.09038,False
8.48,46.29751,False
8.5,46.50418,False
8.52,46.71044,False
8.54,46.91628,False
8.559999,47.12165,False
8.58,47.32664,False
8.599999,47.53119,False
8.62,47.73529,False
8.639999,47.93902,False
8.66,48.1423,False
8.679999,48.34515,False
8.7,48.54756,False
8.72,48.7496,False
8.74,48.95119,False
8.76,49.15236,False
8.78,49.35315,False
8.8,49.55346,False
8.82,49.75341,False
8.84,49.9529,False
8.86,50.15202,False
8.88,50.3507,False
8.9,50.54896,False
8.92,50.74684,False
8.94,50.94429,False
8.96,51.14132,False
8.98,51.33796,False
9,51.5342,False
9.02,51.73001,False
9.04,51.92543,False
9.059999,52.12042,False
9.08,52.31504,False
9.099999,52.50921,False
9.12,52.70303,False
9.139999,52.89642,False
9.16,53.08942,False
9.179999,53.28201,False
9.2,53.47419,False
9.22,53.66599,False
9.24,53.85738,False
9.26,54.04838,False
9.28,54.23899,False
9.3,54.42919,False
9.32,54.619,False
9.34,54.8084,False
9.36,54.99744,False
9.38,55.18609,False
9.4,55.37432,False
9.42,55.56217,False
9.44,55.74963,False
9.46,55.9367,False
9.48,56.12337,False
9.5,56.30968,False
9.52,56.49559,False
9.54,56.68111,False
9.559999,56.86625,False
9.58,57.05101,False
9.599999,57.23537,False
9.62,57.41936,False
9.639999,57.60299,False
9.66,57.78618,False
9.679999,57.96906,False
9.7,58.1515,False
9.719999,58.3336,False
9.74,58.51529,False
9.76,58.69663,False
9.78,58.87759,False
9.8,59.05817,False
9.82,59.23837,False
9.84,59.4182,False
9.86,59.59765,False
9.88,59.77675,False
9.9,59.95546,False
9.92,60.1338,False
9.94,60.31178,False
9.96,60.48936,False
9.98,60.6666,False
10,60.84348,False
10.02,61.01998,False
10.04,61.19611,False
10.06,61.37188,False
10.08,61.54725,False
10.1,61.72231,False
10.12,61.89699,False
10.14,62.07129,False
10.16,62.24524,False
10.18,62.41883,False
10.2,62.59205,False
10.22,62.76492,False
10.24,62.93742,False
10.26,63.10957,False
10.28,63.28137,False
10.3,63.4528,False
10.32,63.62389,False
10.34,63.79461,False
10.36,63.96497,False
10.38,64.13499,False
10.4,64.30466,False
10.42,64.47398,False
10.44,64.64294,False
10.46,64.81155,False
10.48,64.9798,False
10.5,65.14771,False
10.52,65.31528,False
10.54,65.48247,False
10.56,65.64935,False
10.58,65.81586,False
10.6,65.98202,False
10.62,66.14787,False
10.64,66.31333,False
10.66,66.47849,False
10.68,66.64327,False
10.7,66.80773,False
10.72,66.97183,False
10.74,67.13561,False
10.76,67.29905,False
10.78,67.46214,False
10.8,67.62489,False
10.82,67.78732,False
10.84,67.94939,False
10.86,68.11115,False
10.88,68.27253,False
10.9,68.43362,False
10.92,68.59434,False
10.94,68.75475,False
10.96,68.91482,False
10.98,69.07455,False
11,69.23396,False
11.02,69.39304,False
11.04,69.55179,False
11.06,69.71018,False
11.08,69.86829,False
11.1,70.02604,False
11.12,70.18348,False
11.14,70.34056,False
11.16,70.49734,False
11.18,70.65379,False
11.2,70.80993,False
11.22,70.96572,False
11.24,71.12119,False
11.26,71.27634,False
11.28,71.43118,False
11.3,71.58569,False
11.32,71.73987,False
11.34,71.89373,False
11.36,72.04728,False
11.38,72.20051,False
11.4,72.35342,False
11.42,72.50602,False
11.44,72.6583,False
11.46,72.81026,False
11.48,72.9619,False
11.5,73.11323,False
11.52,73.26424,False
11.54,73.41493,False
11.56,73.56533,False
11.58,73.71541,False
11.6,73.86517,False
11.62,74.01463,False
11.64,74.16377,False
11.66,74.31261,False
11.68,74.46114,False
11.7,74.60933,False
11.72,74.75726,False
11.74,74.90485,False
11.76,75.05213,False
11.78,75.19913,False
11.8,75.3458,False
11.82,75.49217,False
11.84,75.63825,False
11.86,75.78403,False
11.88,75.92948,False
11.9,76.07465,False
11.92,76.21951,False
11.94,76.36407,False
11.96,76.50832,False
11.98,76.65228,False
12,76.79591,False
12.02,76.93929,False
12.04,77.08236,False
12.06,77.22513,False
12.08,77.3676,False
12.1,77.50978,False
12.12,77.65166,False
12.14,77.79324,False
12.16,77.93456,False
12.18,78.07552,False
12.2,78.21622,False
12.22,78.35664,False
12.24,78.49676,False
12.26,78.6366,False
12.28,78.77612,False
12.3,78.91537,False
12.32,79.05434,False
12.34,79.193,False
12.36,79.3314,False
12.38,79.46948,False
12.4,79.60729,False
12.42,79.7448,False
12.44,79.88204,False
12.46,80.019,False
12.48,80.15566,False
12.5,80.29204,False
12.52,80.42815,False
12.54,80.56397,False
12.56,80.69951,False
12.58,80.83475,False
12.6,80.96973,False
12.62,81.10442,False
12.64,81.23883,False
12.66,81.37296,False
12.68,81.50682,False
12.7,81.6404,False
12.72,81.77369,False
12.74,81.90672,False
12.76,82.03945,False
12.78,82.17192,False
12.8,82.30412,False
12.82,82.43603,False
12.84,82.56765,False
12.86,82.69903,False
12.88,82.83012,False
12.9,82.96095,False
12.92,83.0915,False
12.94,83.22178,False
12.96,83.35178,False
12.98,83.48154,False
13,83.61101,False
13.02,83.74021,False
13.04,83.86914,False
13.06,83.9978,False
13.08,84.12618,False
13.1,84.25433,False
13.12,84.38216,False
13.14,84.50978,False
13.16,84.63708,False
13.18,84.76418,False
13.2,84.89098,False
13.22,85.01752,False
13.24,85.14378,False
13.26,85.26981,False
13.28,85.39555,False
13.3,85.52106,False
13.32,85.64627,False
13.34,85.77123,False
13.36,85.89594,False
13.38,86.02039,False
13.4,86.14458,False
13.42,86.26852,False
13.44,86.3922,False
13.46,86.51562,False
13.48,86.63877,False
13.5,86.76169,False
13.52,86.88434,False
13.54,87.00672,False
13.56,87.12888,False
13.58,87.25076,False
13.6,87.37241,False
13.62,87.49378,False
13.64,87.6149,False
13.66,87.73577,False
13.68,87.85641,False
13.7,87.97679,False
13.72,88.09691,False
13.74,88.21681,False
13.76,88.33643,False
13.78,88.4558,False
13.8,88.57494,False
13.82,88.69382,False
13.84,88.81245,False
13.86,88.93083,False
13.88,89.04895,False
13.9,89.16687,False
13.92,89.28451,False
13.94,89.40191,False
13.96,89.51909,False
13.98,89.636,False
14,89.75267,False
14.02,89.86911,False
14.04,89.98529,False
14.06,90.10125,False
14.08,90.21695,False
14.1,90.33241,False
14.12,90.44764,False
14.14,90.56262,False
14.16,90.67737,False
14.18,90.79188,False
14.2,90.90615,False
14.22,91.02018,False
14.24,91.13398,False
14.26,91.24754,False
14.28,91.36086,False
14.3,91.47396,False
14.32,91.58681,False
14.34,91.69943,False
14.36,91.81182,False
14.38,91.92397,False
14.4,92.0359,False
14.42,92.14759,False
14.44,92.25903,False
14.46,92.37026,False
14.48,92.48125,False
14.5,92.592,False
14.52,92.70252,False
14.54,92.81281,False
14.56,92.92287,False
14.58,93.03271,False
14.6,93.14235,False
14.62,93.25174,False
14.64,93.3609,False
14.66,93.46982,False
14.68,93.57854,False
14.7,93.68703,False
14.72,93.79529,False
14.74,93.90329,False
14.76,94.01109,False
14.78,94.11867,False
14.8,94.22603,False
14.82,94.33315,False
14.84,94.44006,False
14.86,94.54673,False
14.88,94.65321,False
14.9,94.75943,False
14.92,94.86545,False
14.94,94.97126,False
14.96,95.07685,False
14.98,95.18223,False
15,95.28738,False
15.02,95.39228,False
15.04,95.497,False
15.06,95.6015,False
15.08,95.70576,False
15.1,95.80981,False
15.12,95.91365,False
15.14,96.01729,False
15.16,96.1207,False
15.18,96.22387,False
15.2,96.32685,False
15.22,96.42962,False
15.24,96.53216,False
15.26,96.63449,False
15.28,96.73663,False
15.3,96.83853,False
15.32,96.94023,False
15.34,97.04171,False
15.36,97.14297,False
15.38,97.24407,False
15.4,97.34492,False
15.42,97.44556,False
15.44,97.54599,False
15.46,97.64623,False
15.48,97.74625,False
15.5,97.84604,False
15.52,97.94566,False
15.54,98.04505,False
15.56,98.14423,False
15.58,98.24322,False
15.6,98.34197,False
15.62,98.44057,False
15.64,98.53892,False
15.66,98.63709,False
15.68,98.73505,False
15.7,98.8328,False
15.72,98.93037,False
15.74,99.0277,False
15.76,99.12486,False
15.78,99.22181,False
15.8,99.31855,False
15.82,99.41508,False
15.84,99.51144,False
15.86,99.60757,False
15.88,99.70351,False
15.9,99.79926,False
15.92,99.89478,False
15.94,99.99014,False
15.96,100.0853,False
15.98,100.1802,False
16,100.2749,False
16.02,100.3695,False
16.04,100.4639,False
16.06,100.558,False
